# Abigail Pitcairn
# Equipment demo data for testing the equipment insertion process.
# The availability is a string that describes the availability of the equipment.
# The description is a string that describes the equipment.
# The name is a string that describes the equipment.
# The institution_name is a string that describes the institution that the equipment belongs to.
# Equipment ID is generated upon insertion into the database. 
# Similarly, institution ID is retrieved from the institution table upon insertion and replaces institution_name. 
name,description,availability,institution_name
Compound Microscope,High resolution compound microscope,Available Mondays 09:00-17:00,Eastern Maine Community College
3D Printer,Desktop 3D printer for prototyping,Unavailable,Eastern Maine Community College
Digital Camera,DSLR camera for lab documentation,Available,University of Maine at Augusta
Spectrophotometer,Used for measuring light absorbance,Available Tuesdays and Thursdays,University of Southern Maine
Laptop,High-end laptop for data analysis,Not available,Central Maine Community College
Oscilloscope,Digital oscilloscope for electronics lab,Available,Maine Maritime Academy
Projector,HD projector for classroom demonstrations,Available,University of Maine at Augusta
Centrifuge,Table-top centrifuge for biological samples,Unavailable,York County Community College
Tablet,Android tablet for fieldwork,Available,York County Community College
Laser Cutter,CO2 laser cutter for materials lab,Available Wednesdays,Northern Maine Community College
Electron Microscope,Advanced electron microscope for nanoscale imaging,Available by appointment,Maine Maritime Academy
Flow Cytometer,Cell analysis and sorting instrument,Available weekdays 10:00-16:00,Bates College
Atomic Force Microscope,High-resolution surface imaging equipment,Available,University of Maine at Presque Isle
DNA Sequencer,Next-generation sequencing platform,Unavailable for maintenance,Bowdoin College
Confocal Microscope,High-resolution fluorescence imaging,Available Tuesdays and Fridays,Bates College
Autoclave,Steam sterilization equipment,Available daily,Eastern Maine Community College
UV-Vis Spectrometer,Ultraviolet-visible spectroscopy instrument,Available,University of Maine
Incubator,Controlled environment chamber for cell culture,Available 24/7,Colby College
RT-PCR Machine,Real-time polymerase chain reaction system,Available weekdays,University of Maine at Augusta
Electrophoresis System,DNA and protein separation equipment,Available,University of Maine at Augusta
